Id,Price
4567,158558.66
5925,128438.04
960,134515.95
3848,175967.69
746,157587.73
868,387405.1
672,117444.92
2471,207429.6
4510,118334.11
8354,272753.6
6393,170657.75
13270,217268.97
5250,282616.38
16751,164197.23
11404,139841.45
10588,317793.56
14925,191176.69
6791,250863.66
16097,201288.38
16428,385743.75
6945,320189.16
3190,181584.75
15709,480143.38
13155,180690.03
7675,202813.72
14686,254174.62
609,169099.0
11155,171546.94
10869,214101.25
15742,177915.4
9245,195020.97
3340,164420.83
2359,279591.22
8070,202366.11
13707,128830.28
16079,253620.16
15937,307671.94
14090,193672.48
9008,222584.75
16384,186941.42
11657,245847.53
13151,189224.75
8990,182726.9
11857,180002.64
1565,156249.08
8174,91152.91
9247,241391.55
10478,220383.34
15509,140370.92
8306,265354.0
6642,193083.16
7472,249774.66
15989,130857.19
13682,120848.984
163,202309.55
7076,176141.97
7478,264203.0
3029,189334.22
1814,144539.12
10057,134002.12
15100,187528.16
12694,208450.31
6291,172362.58
12603,178559.17
3218,213701.6
13456,131884.4
10170,255684.53
4530,146568.95
13329,157681.34
4820,148814.75
10896,177553.03
13416,139640.92
2701,207901.03
11265,369102.94
9189,256317.88
1858,212262.98
14536,244459.66
6199,272586.44
14730,153258.47
7510,244336.12
15505,159936.0
7446,178413.77
14016,190560.53
14113,114354.055
8721,293574.72
6193,319107.06
5717,172055.97
5427,326247.38
9520,475220.94
6869,99065.87
1658,161092.81
6639,210134.58
6283,203435.84
6257,132523.08
15235,186616.27
902,180522.22
8932,213848.25
16469,286218.38
2825,274261.75
6450,457082.62
11366,180288.19
3801,348771.66
11385,210070.1
1079,204087.66
3202,253984.44
676,226196.03
6185,299570.8
7730,163089.66
2573,176996.81
10978,192413.1
10962,257353.98
8870,213152.38
8496,177704.52
5517,192458.92
927,183480.38
13675,192481.9
1499,225726.94
15536,343796.56
8602,332674.06
12137,406460.25
9865,253686.53
16353,274176.2
15908,218861.22
3944,183688.98
10359,201670.25
15158,224649.6
3259,249980.34
7220,308078.5
13843,201368.31
16736,188376.66
702,250468.11
16401,115009.91
12134,181589.25
6918,164383.75
11792,140345.28
3798,150293.89
10395,133667.4
11099,168052.56
7090,200960.62
11260,190010.66
9647,207962.47
2903,325089.5
2071,181889.48
8604,186621.39
9346,212221.6
3945,204085.86
3420,134836.47
10842,130800.73
725,159660.5
13931,189305.78
16330,240945.95
9066,465495.06
3326,286947.56
1556,244901.56
6579,127881.24
13877,156189.25
9857,350200.03
7302,271936.66
5684,207003.9
6513,235519.61
11342,108202.67
16561,233797.48
6885,179640.84
9308,178885.88
2559,160144.34
6648,173160.92
15260,178568.06
5113,183020.94
16492,201158.0
12034,284722.4
7248,225583.4
2171,221874.5
10594,189871.9
13241,201595.4
7032,139266.53
4884,154029.44
903,202138.34
162,171379.72
6566,240602.78
